University Name,Address
University of Hertfordshire,"University of Hertfordshire, Hertfordshire, United Kingdom"
"Seneca College, Newnham","Seneca College, Newnham, Toronto, Canada"
University of Trier,"University of Trier, Rhineland-Palatinate, Germany"
Lambton College,"Lambton College, Sarnia, Canada"
Radboud University,"Radboud University, Gelderland, Netherlands"
University of Kent,"University of Kent, Kent, United Kingdom"
University of Surrey,"University of Surrey, Surrey, United Kingdom"
University of Greenwich,"University of Greenwich, London, United Kingdom"
University of Huddersfield,"University of Huddersfield, York, United Kingdom"
"EDHEC Business School,Lille","EDHEC Business School,Lille, Paris, France"
"Conestoga College, Waterloo","Conestoga College, Waterloo, Waterloo, Canada"
Anglia Ruskin University,"Anglia Ruskin University, London, United Kingdom"
University of Hull,"University of Hull, Kingston upon Hull, United Kingdom"
"Humber College, North","Humber College, North, Toronto, Canada"
Loyalist College,"Loyalist College, Belleville, Canada"
"Nottingham Trent University, Clifton Campus","Nottingham Trent University, Clifton Campus, Nottingham, United Kingdom"
University of Stirling,"University of Stirling, Stirling, United Kingdom"
"Northumbria University, Newcastle","Northumbria University, Newcastle, Newcastle upon Tyne, United Kingdom"
ESIEE Paris,"ESIEE Paris, Paris, France"
Yeshiva University,"Yeshiva University, New York, United States"
University of Bradford,"University of Bradford, Bradford, United Kingdom"
Aberystwyth University,"Aberystwyth University, Wales, United Kingdom"
Manchester Metropolitan University,"Manchester Metropolitan University, Manchester, United Kingdom"
Umea University,"Umea University, V'sterbottens l'n, Sweden"
Sheffield Hallam University,"Sheffield Hallam University, Sheffield, United Kingdom"
"George Brown College, Casa Loma Campus","George Brown College, Casa Loma Campus, Toronto, Canada"
University of Wolverhampton,"University of Wolverhampton, Wolverhampton, United Kingdom"
University of South Wales,"University of South Wales, Wales, United Kingdom"
Università della Svizzera italiana,"Università della Svizzera italiana, Appenzell Ausserrhoden, Switzerland"
Technical University of Ingolstadt,"Technical University of Ingolstadt, Bavaria, Germany"
"Durham College, Oshawa","Durham College, Oshawa, Oshawa, Canada"
Bournemouth University,"Bournemouth University, Bournemouth, United Kingdom"
University of Bologna,"University of Bologna, Bologna, Italy"
"Algonquin College, Ottawa","Algonquin College, Ottawa, Ottawa, Canada"
Deggendorf Institute of Technology,"Deggendorf Institute of Technology, Bavaria, Germany"
ESMT Berlin,"ESMT Berlin, Berlin, Germany"
Ulster University,"Ulster University, Coleraine, United Kingdom"
Edge Hill University,"Edge Hill University, Lancashire, United Kingdom"
Liverpool John Moores University,"Liverpool John Moores University, Liverpool, United Kingdom"
SRH Hochschule Berlin,"SRH Hochschule Berlin, Berlin, Germany"
University of Plymouth,"University of Plymouth, Plymouth, United Kingdom"
Falmouth University,"Falmouth University, Cornwall, United Kingdom"
University of West London,"University of West London, London, United Kingdom"
Maastricht Universities,"Maastricht Universities, Limburg, Netherlands"
London Metropolitan University,"London Metropolitan University, London, United Kingdom"
Hong Kong Baptist University,"Hong Kong Baptist University, Kowloon, Hong Kong"
University of the West of England,"University of the West of England, Bristol, United Kingdom"
Hochschule Neu-Ulm University of Applied Sciences,"Hochschule Neu-Ulm University of Applied Sciences, Bavaria, Germany"
EU Business School,"EU Business School, Bavaria, Germany"
Universite Cote d'Azur,"Universite Cote d'Azur, Nice, France"
Hof University of Applied Sciences,"Hof University of Applied Sciences, Bavaria, Germany"
University of Wales Trinity Saint David,"University of Wales Trinity Saint David, Swansea, United Kingdom"
Universitat Politècnica de Catalunya- BarcelonaTech,"Universitat Politècnica de Catalunya- BarcelonaTech, Barcelona, Spain"
EADA Business School,"EADA Business School, Barcelona, Spain"
University of Trento,"University of Trento, Trento, Italy"
University of Barcelona,"University of Barcelona, Barcelona, Spain"
Johannes Kepler University Linz,"Johannes Kepler University Linz, Upper Austria, Austria"
Institut Polytechnique de Paris,"Institut Polytechnique de Paris, Palaiseau, France"
"Long Island University, Post","Long Island University, Post, New York, United States"
"Northeastern University, Portland","Northeastern University, Portland, Maine, United States"
University of Applied Sciences Würzburg - Schweinfurt,"University of Applied Sciences Würzburg - Schweinfurt, Bavaria, Germany"
Technical University of Nuremberg,"Technical University of Nuremberg, Bavaria, Germany"
University of Houston - Downtown,"University of Houston - Downtown, Texas, United States"
"Fleming College, Sutherland","Fleming College, Sutherland, Peterborough, Canada"
IU International University of Applied Sciences,"IU International University of Applied Sciences, Berlin, Germany"
Technical University of Applied Sciences Würzburg-Schweinfurt,"Technical University of Applied Sciences Würzburg-Schweinfurt, Bavaria, Germany"
"Ecole Polytechnique, Montreal","Ecole Polytechnique, Montreal, Quebec, Canada"
"Texas A&M University, College Station","Texas A&M University, College Station, Texas, United States"
Georgia Institute of Technology,"Georgia Institute of Technology, Georgia, United States"
University of Texas at Austin,"University of Texas at Austin, Texas, United States"
The University of Texas at Arlington,"The University of Texas at Arlington, Texas, United States"
"North Carolina State University, Raleigh","North Carolina State University, Raleigh, North Carolina, United States"
University of Illinois at Chicago,"University of Illinois at Chicago, Illinois, United States"
"University of Maryland, College Park","University of Maryland, College Park, Maryland, United States"
"The University of British Columbia, Vancouver","The University of British Columbia, Vancouver, British Columbia, Canada"
Arizona State University,"Arizona State University, Arizona, United States"
University of North Carolina at Charlotte,"University of North Carolina at Charlotte, North Carolina, United States"
"University of Michigan, Ann Arbor","University of Michigan, Ann Arbor, Michigan, United States"
Columbia University,"Columbia University, New York, United States"
University of Illinois at Urbana-Champaign,"University of Illinois at Urbana-Champaign, Illinois, United States"
"University of California, Berkeley","University of California, Berkeley, California, United States"
Pennsylvania State University,"Pennsylvania State University, Pennsylvania, United States"
"University of Minnesota, Twin Cities","University of Minnesota, Twin Cities, Minnesota, United States"
University of Pennsylvania,"University of Pennsylvania, Pennsylvania, United States"
University of Washington,"University of Washington, Washington, United States"
Massachusetts Institute of Technology,"Massachusetts Institute of Technology, Massachusetts, United States"
Virginia Tech,"Virginia Tech, Virginia, United States"
University of Waterloo,"University of Waterloo, Ontario, Canada"
Syracuse University,"Syracuse University, New York, United States"
University of Massachusetts Amherst,"University of Massachusetts Amherst, Massachusetts, United States"
Stanford University,"Stanford University, California, United States"
Cornell University,"Cornell University, New York, United States"
University of Houston,"University of Houston, Texas, United States"
University of South Florida,"University of South Florida, Florida, United States"
University of Wisconsin-Madison,"University of Wisconsin-Madison, Wisconsin, United States"
McGill University,"McGill University, Montreal, Canada"
Ohio State University,"Ohio State University, Ohio, United States"
Indiana University Bloomington,"Indiana University Bloomington, Indiana, United States"
Clemson University,"Clemson University, South Carolina, United States"
University of Arizona,"University of Arizona, Arizona, United States"
Harvard University,"Harvard University, Massachusetts, United States"
Technical University of Munich,"Technical University of Munich, Bavaria, Germany"
The University of Utah,"The University of Utah, Utah, United States"
Texas Tech University,"Texas Tech University, Texas, United States"
Carleton University,"Carleton University, Ottawa, Canada"
University of Calgary,"University of Calgary, Alberta, Canada"
Dalhousie University,"Dalhousie University, Nova Scotia, Canada"
University of Virginia,"University of Virginia, Virginia, United States"
Princeton University,"Princeton University, New Jersey, United States"
Yale University,"Yale University, Connecticut, United States"
RWTH Aachen University,"RWTH Aachen University, North Rhine-Westphilia, Germany"
University of Colorado at Denver,"University of Colorado at Denver, Colorado, United States"
"New York Institute of Technology, NY Campus","New York Institute of Technology, NY Campus, New York, United States"
Rice University,"Rice University, Texas, United States"
Delft University of Technology,"Delft University of Technology, South Holland, Netherlands"
The University of Melbourne,"The University of Melbourne, Victoria, Australia"
Kansas State University,"Kansas State University, Kansas, United States"
National University Of Singapore,"National University Of Singapore, Singapore, Singapore"
Technical University of Berlin,"Technical University of Berlin, Berlin, Germany"
Washington State University,"Washington State University, Washington, United States"
Florida International University,"Florida International University, Florida, United States"
University of Oklahoma,"University of Oklahoma, Oklahoma, United States"
Dartmouth College,"Dartmouth College, New Hampshire, United States"
Rensselaer Polytechnic Institute,"Rensselaer Polytechnic Institute, New York, United States"
Portland State University,"Portland State University, Oregon, United States"
Washington University in St. Louis,"Washington University in St. Louis, Missouri, United States"
"University of Missouri, Columbia","University of Missouri, Columbia, Missouri, United States"
The University of New South Wales,"The University of New South Wales, New South Wales, Australia"
University of Montreal,"University of Montreal, Quebec, Canada"
University of Wisconsin-Milwaukee,"University of Wisconsin-Milwaukee, Wisconsin, United States"
The University of Kansas,"The University of Kansas, Kansas, United States"
University of Manitoba,"University of Manitoba, Manitoba, Canada"
ETH Zurich,"ETH Zurich, Z'rich, Switzerland"
University of Cambridge,"University of Cambridge, Cambridgeshire, United Kingdom"
University of Stuttgart,"University of Stuttgart, Baden-Warttemberg, Germany"
University of Tennessee at Knoxville,"University of Tennessee at Knoxville, Tennessee, United States"
"Deakin University, Melbourne","Deakin University, Melbourne, Victoria, Australia"
Temple University,"Temple University, Pennsylvania, United States"
"Southern Illinois University, Carbondale","Southern Illinois University, Carbondale, Illinois, United States"
The University of Sydney,"The University of Sydney, New South Wales, Australia"
Louisiana State University,"Louisiana State University, Louisiana, United States"
KTH Royal Institute of Technology,"KTH Royal Institute of Technology, Stockholms l'n, Sweden"
Karlsruhe Institute of Technology,"Karlsruhe Institute of Technology, Baden-Warttemberg, Germany"
University of Notre Dame,"University of Notre Dame, Indiana, United States"
University of Edinburgh,"University of Edinburgh, Edinburgh, United Kingdom"
"University of Nebraska, Lincoln","University of Nebraska, Lincoln, Nebraska, United States"
University College London,"University College London, London, United Kingdom"
The University of Queensland,"The University of Queensland, Queensland, Australia"
North Dakota State University,"North Dakota State University, North Dakota, United States"
California Polytechnic State University,"California Polytechnic State University, California, United States"
"California State Polytechnic University, Pomona","California State Polytechnic University, Pomona, California, United States"
University of New Mexico,"University of New Mexico, New Mexico, United States"
"The City College of New York, CCNY","The City College of New York, CCNY, New York, United States"
University of Memphis,"University of Memphis, Tennessee, United States"
Bowling Green State University,"Bowling Green State University, Ohio, United States"
University of Oregon,"University of Oregon, Oregon, United States"
Ecole Polytechnique Fédérale de Lausanne,"Ecole Polytechnique Fédérale de Lausanne, Vaud, Switzerland"
University of Leeds,"University of Leeds, Leeds, United Kingdom"
The University of Auckland,"The University of Auckland, Auckland, New Zealand"
University of Miami,"University of Miami, Florida, United States"
Queensland University of Technology,"Queensland University of Technology, Queensland, Australia"
South Dakota State University,"South Dakota State University, South Dakota, United States"
"University of Nevada, Las Vegas","University of Nevada, Las Vegas, Nevada, United States"
Swinburne University of Technology,"Swinburne University of Technology, Victoria, Australia"
University of Idaho,"University of Idaho, Idaho, United States"
Kennesaw State University,"Kennesaw State University, Georgia, United States"
Auckland University of Technology,"Auckland University of Technology, Auckland, New Zealand"
Montana State University at Bozeman,"Montana State University at Bozeman, Montana, United States"
The University of Tokyo,"The University of Tokyo, Tokyo, Japan"
The University of Western Australia,"The University of Western Australia, Western Australia, Australia"
University of Louisiana at Lafayette,"University of Louisiana at Lafayette, Louisiana, United States"
Miami University,"Miami University, Ohio, United States"
Bauhaus-Universität Weimar,"Bauhaus-Universität Weimar, Thuringia, Germany"
Griffith University,"Griffith University, Queensland, Australia"
Lancaster University,"Lancaster University, Lancashire, United Kingdom"
University of South Australia,"University of South Australia, South Australia, Australia"
California Baptist University,"California Baptist University, California, United States"
University of Tasmania,"University of Tasmania, Tasmania, Australia"
Lund University,"Lund University, Sk'ne l'n, Sweden"
Ball State University,"Ball State University, Indiana, United States"
University of Liverpool,"University of Liverpool, Liverpool, United Kingdom"
Newcastle University,"Newcastle University, Newcastle upon Tyne, United Kingdom"
"Northeastern University, Seattle","Northeastern University, Seattle, Washington, United States"
Kingston University London,"Kingston University London, Kingston upon Thames, United Kingdom"
Florida Agricultural and Mechanical University,"Florida Agricultural and Mechanical University, Florida, United States"
Claremont Graduate University,"Claremont Graduate University, California, United States"
University of Newcastle,"University of Newcastle, New South Wales, Australia"
University of Kassel,"University of Kassel, Hesse, Germany"
Tulane University,"Tulane University, New York, United States"
Laurentian University,"Laurentian University, Sudbury, Canada"
University of Bristol,"University of Bristol, Bristol, United Kingdom"
University of Detroit Mercy,"University of Detroit Mercy, Michigan, United States"
University of Wuppertal,"University of Wuppertal, North Rhine-Westphilia, Germany"
Prairie View A&M University,"Prairie View A&M University, Texas, United States"
University of Canberra,"University of Canberra, Australian Capital Territory, Australia"
Kyushu University,"Kyushu University, Fukuoka, Japan"
Bond University,"Bond University, Queensland, Australia"
University of Hartford,"University of Hartford, Connecticut, United States"
Catholic University Of America,"Catholic University Of America, District of Columbia, United States"
University of the District of Columbia,"University of the District of Columbia, Washington, United States"
"Nottingham Trent University, City Campus","Nottingham Trent University, City Campus, Nottingham, United Kingdom"
Hampton University,"Hampton University, Virginia, United States"
University of Portsmouth,"University of Portsmouth, Portsmouth, United Kingdom"
Morgan State University,"Morgan State University, Maryland, United States"
University of Westminster,"University of Westminster, London, United Kingdom"
University of Dundee,"University of Dundee, Dundee City, United Kingdom"
"Conestoga College, Kitchener–Doon","Conestoga College, Kitchener–Doon, Kitchener, Canada"
Lincoln University,"Lincoln University, Canterbury, New Zealand"
Tokyo University of Science,"Tokyo University of Science, Tokyo, Japan"
Savannah College of Art and Design,"Savannah College of Art and Design, Georgia, United States"
University of Notre Dame Australia,"University of Notre Dame Australia, Western Australia, Australia"
London South Bank University,"London South Bank University, London, United Kingdom"
Rhode Island School of Design,"Rhode Island School of Design, Rhode Island, United States"
The New School,"The New School, New York, United States"
Kobe University,"Kobe University, Hyogo, Japan"
Wentworth Institute of Technology,"Wentworth Institute of Technology, Massachusetts, United States"
University of the Fraser Valley,"University of the Fraser Valley, British Columbia, Canada"
School of the Art Institute of Chicago,"School of the Art Institute of Chicago, Illinois, United States"
Leeds Beckett University,"Leeds Beckett University, Leeds, United Kingdom"
Thomas Jefferson University,"Thomas Jefferson University, Pennsylvania, United States"
University of Central Lancashire,"University of Central Lancashire, Lancashire, United Kingdom"
University of Salford,"University of Salford, Salford, United Kingdom"
Yamaguchi University,"Yamaguchi University, Yamaguchi, Japan"
De Montfort University,"De Montfort University, Leicester, United Kingdom"
Pratt Institute,"Pratt Institute, New York, United States"
The University of Hong Kong,"The University of Hong Kong, Pok Fu Lam, Hong Kong"
Robert Gordon University,"Robert Gordon University, Aberdeen City, United Kingdom"
Solent University,"Solent University, Hampshire, United Kingdom"
Frankfurt University of Applied Sciences,"Frankfurt University of Applied Sciences, Frankfurt, Germany"
SRH University Heidelberg,"SRH University Heidelberg, Heidelberg, Germany"
Sault College,"Sault College, Sault, Canada"
University of Brighton,"University of Brighton, Brighton and Hove, United Kingdom"
City University of Hong Kong,"City University of Hong Kong, Kowloon, Hong Kong"
Sapienza University of Rome,"Sapienza University of Rome, Roma, Italy"
Norwich University,"Norwich University, Vermont, United States"
"Goldsmiths, University of London","Goldsmiths, University of London, London, United Kingdom"
The Chinese University of Hong Kong,"The Chinese University of Hong Kong, New Territories, Hong Kong"
Southern California Institute Of Architecture,"Southern California Institute Of Architecture, California, United States"
University of Lincoln,"University of Lincoln, Lincolnshire, United Kingdom"
California College of Arts,"California College of Arts, California, United States"
University for the Creative Arts,"University for the Creative Arts, Kent, United Kingdom"
Polytechnic University of Turin,"Polytechnic University of Turin, Turin, Italy"
Royal College of Art,"Royal College of Art, London, United Kingdom"
Politecnico di Milano,"Politecnico di Milano, Milan, Italy"
Politecnico di Torino,"Politecnico di Torino, Turin, Italy"
Architectural Association School of Architecture,"Architectural Association School of Architecture, London, United Kingdom"
Royal Danish Academy,"Royal Danish Academy, Hovedstaden, Denmark"
Boston Architectural College,"Boston Architectural College, Massachusetts, United States"
Norwich University Of The Arts,"Norwich University Of The Arts, Norfolk, United Kingdom"
HafenCity University Hamburg,"HafenCity University Hamburg, Hamburg, Germany"
"University of Illinois Chicago, Global","University of Illinois Chicago, Global, Illinois, United States"
Woodbury University,"Woodbury University, California, United States"
NewSchool of Architecture & Design,"NewSchool of Architecture & Design, California, United States"
Arts University Bournemouth,"Arts University Bournemouth, Poole, United Kingdom"
New York University,"New York University, New York, United States"
Purdue University West Lafayette,"Purdue University West Lafayette, Indiana, United States"
University of Colorado Boulder,"University of Colorado Boulder, Colorado, United States"
Michigan State University,"Michigan State University, Michigan, United States"
San Diego State University,"San Diego State University, California, United States"
"California State University, Fullerton","California State University, Fullerton, California, United States"
"California State University, Long Beach","California State University, Long Beach, California, United States"
George Mason University,"George Mason University, Virginia, United States"
University of Windsor,"University of Windsor, Ontario, Canada"
Concordia University,"Concordia University, Montreal, Canada"
California Institute Of Technology,"California Institute Of Technology, California, United States"
Santa Clara University,"Santa Clara University, California, United States"
Colorado State University,"Colorado State University, Colorado, United States"
"California State University, Los Angeles","California State University, Los Angeles, California, United States"
Michigan Technological University,"Michigan Technological University, Michigan, United States"
Johns Hopkins University,"Johns Hopkins University, Maryland, United States"
Texas A&M University - Kingsville,"Texas A&M University - Kingsville, Texas, United States"
University of Ottawa,"University of Ottawa, Ottawa, Canada"
University of North Carolina at Chapel Hill,"University of North Carolina at Chapel Hill, North Carolina, United States"
University of Dayton,"University of Dayton, Ohio, United States"
Cleveland State University,"Cleveland State University, Ohio, United States"
Queen's University,"Queen's University, Kingston, Canada"
"California State University, Sacramento","California State University, Sacramento, California, United States"
University of Pittsburgh,"University of Pittsburgh, Pennsylvania, United States"
Oklahoma State University - Stillwater,"Oklahoma State University - Stillwater, Oklahoma, United States"
McMaster University,"McMaster University, Hamilton, Canada"
Auburn University,"Auburn University, Alabama, United States"
University of Central Florida,"University of Central Florida, Florida, United States"
Florida State University,"Florida State University, Florida, United States"
University of New Haven,"University of New Haven, Connecticut, United States"
University of Connecticut,"University of Connecticut, Connecticut, United States"
Missouri University of Science and Technology,"Missouri University of Science and Technology, Missouri, United States"
"California State University, Fresno","California State University, Fresno, California, United States"
University of Victoria,"University of Victoria, British Columbia, Canada"
Drexel University,"Drexel University, Pennsylvania, United States"
"University of Missouri, Kansas City","University of Missouri, Kansas City, Missouri, United States"
Lakehead University,"Lakehead University, Thunder Bay, Canada"
University of Massachusetts Lowell,"University of Massachusetts Lowell, Massachusetts, United States"
West Virginia University,"West Virginia University, West Virginia, United States"
Southern Methodist University,"Southern Methodist University, Texas, United States"
Lehigh University,"Lehigh University, Pennsylvania, United States"
University of Alabama at Birmingham,"University of Alabama at Birmingham, Alabama, United States"
University of South Carolina,"University of South Carolina, South Carolina, United States"
"University of Alabama, Huntsville","University of Alabama, Huntsville, Alabama, United States"
Florida Institute of Technology,"Florida Institute of Technology, Florida, United States"
University of Saskatchewan,"University of Saskatchewan, Saskatchewan, Canada"
Western Michigan University,"Western Michigan University, Michigan, United States"
University of Delaware,"University of Delaware, Delaware, United States"
Lamar University,"Lamar University, Texas, United States"
University of New Brunswick,"University of New Brunswick, New Brunswick, Canada"
Mississippi State University,"Mississippi State University, Mississippi, United States"
Utah State University,"Utah State University, Utah, United States"
Bradley University,"Bradley University, Illinois, United States"
Technical University of Hamburg,"Technical University of Hamburg, Hamburg, Germany"
Northern Arizona University,"Northern Arizona University, Arizona, United States"
"Southern Illinois University, Edwardsville","Southern Illinois University, Edwardsville, Illinois, United States"
Penn State Harrisburg,"Penn State Harrisburg, Pennsylvania, United States"
University of Glasgow,"University of Glasgow, Glasgow City, United Kingdom"
Ohio University,"Ohio University, Ohio, United States"
Vanderbilt University,"Vanderbilt University, Tennessee, United States"
Penn State Great Valley,"Penn State Great Valley, Pennsylvania, United States"
University of Texas at Tyler,"University of Texas at Tyler, Texas, United States"
University of Arkansas,"University of Arkansas, Arkansas, United States"
The University of Alabama,"The University of Alabama, Alabama, United States"
North Carolina Agricultural and Technical State University,"North Carolina Agricultural and Technical State University, North Carolina, United States"
Curtin University,"Curtin University, Western Australia, Australia"
Old Dominion University,"Old Dominion University, Virginia, United States"
University of Kentucky,"University of Kentucky, Kentucky, United States"
University of Akron,"University of Akron, Ohio, United States"
The University of Toledo,"The University of Toledo, Ohio, United States"
University of Wollongong,"University of Wollongong, New South Wales, Australia"
Villanova University,"Villanova University, Pennsylvania, United States"
University of Mississippi,"University of Mississippi, Mississippi, United States"
Brigham Young University,"Brigham Young University, Utah, United States"
University of Bath,"University of Bath, Bath and North East Somerset, United Kingdom"
University of Louisville,"University of Louisville, Kentucky, United States"
New Mexico State University,"New Mexico State University, New Mexico, United States"
The University of Texas at El Paso,"The University of Texas at El Paso, Texas, United States"
Royal Military College of Canada,"Royal Military College of Canada, Kingston, Canada"
University of Twente,"University of Twente, Overijssel, Netherlands"
Louisiana Tech University,"Louisiana Tech University, Louisiana, United States"
University of Minnesota Duluth,"University of Minnesota Duluth, Minnesota, United States"
Ruhr University Bochum,"Ruhr University Bochum, North Rhine-Westphilia, Germany"
Boise State University,"Boise State University, Idaho, United States"
University of South Alabama,"University of South Alabama, Alabama, United States"
NYU Tandon School of Engineering,"NYU Tandon School of Engineering, New York, United States"
"University of Duisburg, Essen","University of Duisburg, Essen, North Rhine-Westphilia, Germany"
Tennessee Technological University,"Tennessee Technological University, Tennessee, United States"
University of Siegen,"University of Siegen, North Rhine-Westphilia, Germany"
Virginia Polytechnic Institute and State University,"Virginia Polytechnic Institute and State University, Virginia, United States"
Victoria University,"Victoria University, Victoria, Australia"
University of North Dakota,"University of North Dakota, North Dakota, United States"
University of Tennessee at Chattanooga,"University of Tennessee at Chattanooga, Tennessee, United States"
University of Wyoming,"University of Wyoming, Wyoming, United States"
Embry Riddle Aeronautical University,"Embry Riddle Aeronautical University, Florida, United States"
The University of Maine,"The University of Maine, Maine, United States"
University of North Florida,"University of North Florida, Florida, United States"
"Washington State University, Tri-Cities","Washington State University, Tri-Cities, Washington, United States"
